entity,sentence,paragraph,sentence_original,label,class_ID
retailer,which gives the supplier 's profit as and the retailer 's profit as Proposition 1 ( New Good Price and Supply - Chain Profits ) :,"which gives the supplier's profit as and the retailer's profit as Proposition 1 (New Good Price and Supply-Chain Profits): (i) The optimal new good price, P^^n, in the monopolistic ""used good"" market is lower than the new good price in a monopolistic ""no used good"" market, P'^^. (ii) While the supplier's profits decrease with the establishment of a secondary market, there exists a ku such that for all ky > k^l'q^ -h'))/q((2 -k^jh + k^qj, the retailer's profits increase in a secondary market. ",which gives the supplier's profit as and the retailer's profit as Proposition 1 (New Good Price and Supply-Chain Profits):,background_information,3
Proposition 1,which gives the supplier 's profit as and the retailer 's profit as Proposition 1 ( New Good Price and Supply - Chain Profits ) :,"which gives the supplier's profit as and the retailer's profit as Proposition 1 (New Good Price and Supply-Chain Profits): (i) The optimal new good price, P^^n, in the monopolistic ""used good"" market is lower than the new good price in a monopolistic ""no used good"" market, P'^^. (ii) While the supplier's profits decrease with the establishment of a secondary market, there exists a ku such that for all ky > k^l'q^ -h'))/q((2 -k^jh + k^qj, the retailer's profits increase in a secondary market. ",which gives the supplier's profit as and the retailer's profit as Proposition 1 (New Good Price and Supply-Chain Profits):,belongs_to_article,1
Supply-Chain,which gives the supplier 's profit as and the retailer 's profit as Proposition 1 ( New Good Price and Supply - Chain Profits ) :,"which gives the supplier's profit as and the retailer's profit as Proposition 1 (New Good Price and Supply-Chain Profits): (i) The optimal new good price, P^^n, in the monopolistic ""used good"" market is lower than the new good price in a monopolistic ""no used good"" market, P'^^. (ii) While the supplier's profits decrease with the establishment of a secondary market, there exists a ku such that for all ky > k^l'q^ -h'))/q((2 -k^jh + k^qj, the retailer's profits increase in a secondary market. ",which gives the supplier's profit as and the retailer's profit as Proposition 1 (New Good Price and Supply-Chain Profits):,background_information,3
Petri net,"which can be equivalently represented with a Petri net without OR - transition , as illustrated in Fig .","which can be equivalently represented with a Petri net without OR-transition, as illustrated in Fig. 4. Often, we express different meanings with an OR-transition: that is, even if both p and p have a token, the firing should j k produce exactly one token in p . Then, we represent the situation as follows: ","which can be equivalently represented with a Petri net without OR-transition, as illustrated in Fig.",background_information,3
business processes,"which are sent by business processes accounts receivable and case informational perspectives (what) represent the products respectively , request the recording of the system performance , thereby indicating that the goal has been accomplished .","A simple example of a synthesis process for IA modeling is given in Fig. 7: an IA model for a small law firm planning its new computing system. The firm currently has 20 lawyers and 4 secretaries; the accounts receivable system is manual, and information about cases is not shared. Two goals are set: charge to the customer promptly and share information about cases. Two major business processes closely related to the IS are accounts receivable and case information on-line access. Actors participating in the system are LAWYER and SECRETARY. The client-server descriptions include objects on Novell LAN as well as GUI objects of the accounting software package ACCPAC and the e-mail system Pegasus. Message 1, which is sent by object class SECRETARY to the CHARGE event, represents the completion of a lawsuit. It triggers an accounts receivable process. which are sent by business processes accounts receivable and case information respectively, request the recording of the system performance, thereby indicating that the goal has been accomplished. ","which are sent by business processes accounts receivable and case information respectively, request the recording of the system performance, thereby indicating that the goal has been accomplished.",background_information,3
system performance,"which are sent by business processes accounts receivable and case informational perspectives (what) represent the products respectively , request the recording of the system performance , thereby indicating that the goal has been accomplished .","A simple example of a synthesis process for IA modeling is given in Fig. 7: an IA model for a small law firm planning its new computing system. The firm currently has 20 lawyers and 4 secretaries; the accounts receivable system is manual, and information about cases is not shared. Two goals are set: charge to the customer promptly and share information about cases. Two major business processes closely related to the IS are accounts receivable and case information on-line access. Actors participating in the system are LAWYER and SECRETARY. The client-server descriptions include objects on Novell LAN as well as GUI objects of the accounting software package ACCPAC and the e-mail system Pegasus. Message 1, which is sent by object class SECRETARY to the CHARGE event, represents the completion of a lawsuit. It triggers an accounts receivable process. which are sent by business processes accounts receivable and case information respectively, request the recording of the system performance, thereby indicating that the goal has been accomplished. ","which are sent by business processes accounts receivable and case information respectively, request the recording of the system performance, thereby indicating that the goal has been accomplished.",belongs_to_article,1
front-end,"which a hypertext system is a front - end , can be For example , in our present system , contexts may thought of as making inferences in some rather be set in which only certain entities ( documents , different domain . In our implementation , Max , commands , or models ) are available .","The purpose of contexts (also called filters) is and very useful, to set or remove certain default assumptions. 5 For example, if the applicable context is that for Bridge laws. A bridge law is a universally naive users, then the user interface system may quantified material conditional in which the simplify the display in certain ways, perhaps by expressions in the antededent are all in one eliminating acronyms in favor of their full expreslanguage (or domain of discourse)and the sions by hiding technical information in docuexpressions in the consequent are all in ments, or by pruning the number of button or another language (or domain of discourse), commands. Logically, we represent contexts by adding an extra argument to our basic predicates. In the present case, we should think of a What was, for example, simply a node, becomes a hypertext system as working by making inferences node in a given context. Also, because contexts in the hypertext domain of discouse. The underly-are individuated it is possible to reason about ing hypertext language, as we have seen illus-them. We do so in two main ways. trated in §2, is designed for talking about nodes, First, contexts may be used for mapping (translinks, buttons, and so on. An application, for forming) and filtering data objects in the system. which a hypertext system is a front-end, can be For example, in our present system, contexts may thought of as making inferences in some rather be set in which only certain entities (documents, different domain. In our implementation, Max, commands, or models) are available. The entities that domain is mathematical models. There, the that are available are determined during run time application software makes inferences in alan-by mapping certain information to a set of possiguage that describes models, variables, data, and ble entities, then filtering the set using contextual so on. ","which a hypertext system is a front-end, can be For example, in our present system, contexts may thought of as making inferences in some rather be set in which only certain entities (documents, different domain. In our implementation, Max, commands, or models) are available.",belongs_to_article,1
hypertext,"which a hypertext system is a front - end , can be For example , in our present system , contexts may thought of as making inferences in some rather be set in which only certain entities ( documents , different domain . In our implementation , Max , commands , or models ) are available .","The purpose of contexts (also called filters) is and very useful, to set or remove certain default assumptions. 5 For example, if the applicable context is that for Bridge laws. A bridge law is a universally naive users, then the user interface system may quantified material conditional in which the simplify the display in certain ways, perhaps by expressions in the antededent are all in one eliminating acronyms in favor of their full expreslanguage (or domain of discourse)and the sions by hiding technical information in docuexpressions in the consequent are all in ments, or by pruning the number of button or another language (or domain of discourse), commands. Logically, we represent contexts by adding an extra argument to our basic predicates. In the present case, we should think of a What was, for example, simply a node, becomes a hypertext system as working by making inferences node in a given context. Also, because contexts in the hypertext domain of discouse. The underly-are individuated it is possible to reason about ing hypertext language, as we have seen illus-them. We do so in two main ways. trated in §2, is designed for talking about nodes, First, contexts may be used for mapping (translinks, buttons, and so on. An application, for forming) and filtering data objects in the system. which a hypertext system is a front-end, can be For example, in our present system, contexts may thought of as making inferences in some rather be set in which only certain entities (documents, different domain. In our implementation, Max, commands, or models) are available. The entities that domain is mathematical models. There, the that are available are determined during run time application software makes inferences in alan-by mapping certain information to a set of possiguage that describes models, variables, data, and ble entities, then filtering the set using contextual so on. ","which a hypertext system is a front-end, can be For example, in our present system, contexts may thought of as making inferences in some rather be set in which only certain entities (documents, different domain. In our implementation, Max, commands, or models) are available.",belongs_to_article,1
group decision support system,which a group decision support system GDSS intended to aid multiple cooperating decision makers has become an important topic .,"The increasing complexity of the socio-economic environment makes it increasingly difficult for a single Ž . decision maker DM to consider all relevant aspects of a problem. As a result, many organizations employ groups in decision making. This trend also has important consequences for research on decision support, in Ž . which a group decision support system GDSS intended to aid multiple cooperating decision makers has become an important topic. ",which a group decision support system GDSS intended to aid multiple cooperating decision makers has become an important topic.,background_information,3
GDSS,which a group decision support system GDSS intended to aid multiple cooperating decision makers has become an important topic .,"The increasing complexity of the socio-economic environment makes it increasingly difficult for a single Ž . decision maker DM to consider all relevant aspects of a problem. As a result, many organizations employ groups in decision making. This trend also has important consequences for research on decision support, in Ž . which a group decision support system GDSS intended to aid multiple cooperating decision makers has become an important topic. ",which a group decision support system GDSS intended to aid multiple cooperating decision makers has become an important topic.,background_information,3
